id,user_id,hours,date,project_num,price
129,10,9,1/1/2019,2019-Cost Center-7,2.8
128,10,3,2/7/2019,2019-Vacation-1,2.8
124,10,26,2/14/2019,2019-ISO-6,2.8
125,10,41.5,2/14/2019,2019-Lean-3,2.8
126,10,16,2/14/2019,2019-Lean-4,2.8
127,10,14,2/14/2019,2019-Lean-1,2.8
86,11,379.5,2/14/2019,2019-ISO-2,3
40,2,1,2/14/2019,2019-ISO-13,8.8
39,2,3.5,2/14/2019,2019-ISO-3,8.8
38,2,8,2/14/2019,2019-ISO-2,8.8
123,10,60,2/14/2019,2019-ISO-1,2.8
41,2,16.5,2/14/2019,2019-ISO-4,8.8
42,2,14.5,2/14/2019,2019-ISO-5,8.8
43,2,9,2/14/2019,2019-ISO-7,8.8
44,2,2,2/14/2019,2019-ISO-10,8.8
45,2,1,2/14/2019,2019-ISO-8,8.8
46,2,5,2/14/2019,2019-ISO-12,8.8
47,2,241.5,2/14/2019,2019-Cost Center-3,8.8
48,2,9,2/14/2019,2019-Vacation-1,8.8
49,2,9,2/14/2019,2019-Cost Center-7,8.8
50,1,23,2/14/2019,2019-ISO-6,8.8
51,1,122.5,2/14/2019,2019-Cost Center-3,8.8
52,1,3,2/14/2019,2019-ISO-8,8.8
53,1,17,2/14/2019,2019-Lean-3,8.8
54,1,45,2/14/2019,2019-Lean-2,8.8
55,1,7.5,2/14/2019,2019-ISO-12,8.8
56,1,4,2/14/2019,2019-Lean-1,8.8
57,1,3,2/14/2019,2019-Lean-4,8.8
58,1,9,1/1/2019,2019-Cost Center-7,8.8
59,1,9,1/17/2019,2019-Cost Center-7,8.8
60,1,18,2/14/2019,2019-Vacation-1,8.8
62,14,445.5,2/14/2019,2019-ISO-4,2.8
63,14,12.5,2/14/2019,2019-ISO-6,2.8
64,14,3,2/5/2019,2019-Cost Center-2,2.8
65,14,9,1/17/2019,2019-Cost Center-7,2.8
66,14,13,2/14/2019,2019-Cost Center-3,2.8
67,14,9,1/6/2019,2019-Vacation-1,2.8
68,12,9,2/14/2019,2019-ISO-2,3.3
69,12,10,2/14/2019,2019-ISO-3,3.3
70,12,14,2/14/2019,2019-ISO-13,3.3
71,12,159,2/14/2019,2019-ISO-4,3.3
72,12,3,2/14/2019,2019-ISO-5,3.3
73,12,184,2/14/2019,2019-ISO-7,3.3
